--------- beginning of main
05-24 14:44:30.584 16338 16358 I Unity   : UnityEngine.Physics:OnSceneContact(PhysicsScene, IntPtr, Int32)
05-24 14:44:30.584 16338 16358 I Unity   : 
05-24 14:44:30.585 16338 16358 I Unity   : !!!!!!!! TriggerHapticFeedback()
05-24 14:44:30.585 16338 16358 I Unity   : HapticFeedback:RightShortVibration()
05-24 14:44:30.585 16338 16358 I Unity   : Cuttable:OnCollisionEnter(Collision)
05-24 14:44:30.585 16338 16358 I Unity   : UnityEngine.Physics:ReportContacts(ReadOnly)
05-24 14:44:30.585 16338 16358 I Unity   : UnityEngine.Physics:OnSceneContact(PhysicsScene, IntPtr, Int32)
05-24 14:44:30.585 16338 16358 I Unity   : 
05-24 14:44:30.585 16338 16358 I Unity   : !!!!!!!! TriggerHapticFeedback()
05-24 14:44:30.585 16338 16358 I Unity   : HapticFeedback:LeftShortVibration()
05-24 14:44:30.585 16338 16358 I Unity   : Cuttable:OnCollisionEnter(Collision)
05-24 14:44:30.585 16338 16358 I Unity   : UnityEngine.Physics:ReportContacts(ReadOnly)
05-24 14:44:30.585 16338 16358 I Unity   : UnityEngine.Physics:OnSceneContact(PhysicsScene, IntPtr, Int32)
05-24 14:44:30.585 16338 16358 I Unity   : 
05-24 14:44:30.588 16338 16358 I Unity   :  ==== Cutting Speed {0} {1}Knife(0.00, 0.00, 0.00)
05-24 14:44:30.588 16338 16358 I Unity   : Cuttable:OnCollisionEnter(Collision)
05-24 14:44:30.588 16338 16358 I Unity   : UnityEngine.Physics:ReportContacts(ReadOnly)
05-24 14:44:30.588 16338 16358 I Unity   : UnityEngine.Physics:OnSceneContact(PhysicsScene, IntPtr, Int32)
05-24 14:44:30.588 16338 16358 I Unity   : 
05-24 14:44:30.589 16338 16358 I Unity   :  #### Impulse {0} {1}(522.93, -7042.40, -2689.72)
05-24 14:44:30.589 16338 16358 I Unity   : Cuttable:OnCollisionEnter(Collision)
05-24 14:44:30.589 16338 16358 I Unity   : UnityEngine.Physics:ReportContacts(ReadOnly)
